"","nom_mun","att_neigh.bin","att_party.bin","att_ngo.bin","att_union.bin","victim","tenure","age","women","edu","neighsec","vote","rural","party","partypri","partyprd","kinship","state"
"1","Totontepec Villa de Morelos",0,1,1,0,"Not a victim",3,31,1,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.533333333333333,"Oaxaca"
"2","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",5,46,1,3,NA,4,1,NA,NA,NA,0.527777777777778,"Oaxaca"
"3","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",2,23,1,4,"Worsened a lot/somewhat",NA,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.694444444444444,"Oaxaca"
"4","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",5,72,1,1,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.666666666666667,"Oaxaca"
"5","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",4,24,1,3,NA,NA,1,NA,NA,NA,0.666666666666667,"Oaxaca"
"6","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",3,73,0,1,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.666666666666667,"Oaxaca"
"7","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",5,79,1,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.555555555555556,"Oaxaca"
"8","Totontepec Villa de Morelos",0,1,0,0,"Not a victim",5,66,0,2,"Worsened a lot/somewhat",4,1,NA,NA,NA,0.75,"Oaxaca"
"9","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",5,77,1,2,NA,3,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.708333333333333,"Oaxaca"
"10","Totontepec Villa de Morelos",0,0,0,0,"Not a victim",4,63,1,2,"Improved a lot/somewhat or same",4,1,NA,NA,NA,0.708333333333333,"Oaxaca"
"11","Toliman",0,0,0,0,"Not a victim",5,46,0,2,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.80952380952381,"Queretaro"
"12","Toliman",0,0,0,0,"Not a victim",5,31,1,3,"Improved a lot/somewhat or same",2,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.80952380952381,"Queretaro"
"13","Toliman",0,0,0,0,"Not a victim",4,23,1,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.738095238095238,"Queretaro"
"14","Toliman",0,0,0,0,"Victim",5,42,0,3,"Worsened a lot/somewhat",2,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",0.642857142857143,"Queretaro"
"15","Toliman",0,0,0,0,"Not a victim",5,21,1,4,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",1,"Queretaro"
"16","Toliman",0,0,0,0,"Not a victim",4,52,0,5,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.80952380952381,"Queretaro"
"17","Toliman",0,0,0,0,"Not a victim",5,38,1,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.285714285714286,"Queretaro"
"18","Toliman",0,0,0,0,"Not a victim",5,45,0,2,"Improved a lot/somewhat or same",3,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.523809523809524,"Queretaro"
"19","Toliman",0,0,0,0,"Not a victim",4,40,0,3,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R identifies with PRI","R does not identify with PRD",0.357142857142857,"Queretaro"
"20","Toliman",0,0,0,0,"Not a victim",5,31,0,2,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.833333333333333,"Queretaro"
"21","Aguascalientes",0,0,0,0,"Not a victim",5,43,1,3,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.285714285714286,"Aguascalientes"
"22","Aguascalientes",0,0,0,0,"Not a victim",5,25,1,1,"Improved a lot/somewhat or same",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.285714285714286,"Aguascalientes"
"23","Aguascalientes",0,0,0,0,"Not a victim",4,30,0,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R does not identify with PRD",0.404761904761905,"Aguascalientes"
"24","Aguascalientes",0,0,0,0,"Not a victim",1,33,0,3,"Improved a lot/somewhat or same",4,1,"R identifies with PAN","R does not identify with PRI","R does not identify with PRD",1,"Aguascalientes"
"25","Aguascalientes",0,1,NA,1,"Not a victim",5,70,0,2,"Worsened a lot/somewhat",4,1,"R does not identify with PAN","R does not identify with PRI","R identifies with PRD",0.166666666666667,"Aguascalientes"
